"lotno","partname","mainlot","inspection_no","first_input_qty","input_date","input_process_code","last_output_qty","completed_date","product_group","product","last_nc_no","nc_rank","nc_issue_date","nc_state","nc_defect_rate","nc_defect_name","total_nc","created_at","updated_at","semi_fg_lotno"
LOTMT1997,"6DSACE803227","","",7980,2025-10-23 00:00:00.000,"1",5000,2025-11-01 18:43:00.000,,,NCR20251025-00037,B,2025-10-25,undefined,"10.015898",Polymer skip cycle,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2025,"4DSACE803477","","",9576,2025-10-23 00:00:00.000,"1",6000,2025-11-17 12:50:00.000,,,NCR20251104-00142,B,2025-11-04,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2032,"4DSACE803477","","",9576,2025-10-23 00:00:00.000,"1",6000,2025-11-05 12:35:00.000,,,NCR20251103-00100,B,2025-11-03,undefined,"100",Total yield ratio lower spec (ESR),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2034,"4DSACE803477","","",9576,2025-10-22 00:00:00.000,"1",3000,2025-11-18 12:39:00.000,,,NCR20251104-00248,B,2025-11-04,undefined,"100",Total yield ratio lower spec (ESR),2,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2055,"6DSACE803477","","",7980,2025-10-22 00:00:00.000,"1",2500,2025-11-12 18:54:00.000,,,NCR20251104-00139,B,2025-11-04,undefined,"100",LC Short chip,2,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2057,"6DSACE803477","","",7980,2025-10-23 00:00:00.000,"1",2500,2025-11-19 13:08:00.000,,,NCR20251031-00173,B,2025-10-31,undefined,"44.726811",Product  abnormal ,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2071,"6DSACE803227","","",7980,2025-10-24 00:00:00.000,"1",5000,2025-11-13 18:45:00.000,,,NCR20251103-00111,B,2025-11-03,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2089,"4DSACE803107","","",11970,2025-10-25 00:00:00.000,"1",9000,2025-11-10 13:01:00.000,,,NCR20251106-00264,B,2025-11-06,undefined,"100",Total yield ratio lower spec (LC),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2095,"4DSACE803227","","",9576,2025-10-24 00:00:00.000,"1",6000,2025-11-11 04:01:00.000,,,NCR20251026-00045,B,2025-10-26,undefined,"20.038503",Polymer skip cycle,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2097,"4DSACE803477","","",9576,2025-10-24 00:00:00.000,"1",6000,2025-11-12 18:56:00.000,,,NCR20251104-00254,B,2025-11-04,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2099,"4DSACE803477","","",9576,2025-10-24 00:00:00.000,"1",6000,2025-11-11 12:58:00.000,,,NCR20251103-00127,B,2025-11-03,undefined,"100",Total yield ratio lower spec (ESR),2,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2115,"4DSACE803227","","",9576,2025-10-25 00:00:00.000,"1",6000,2025-11-06 10:25:00.000,,,NCR20251103-00282,B,2025-11-03,undefined,"100",Total yield ratio lower spec (CDF),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2117,"4DSACE803336","","",9576,2025-10-24 00:00:00.000,"1",6000,2025-11-13 13:34:00.000,,,NCR20251110-00333,B,2025-11-10,undefined,"100",Total yield ratio lower spec (CDF),1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
LOTMT2132,"6DSACE803477","","",7980,2025-10-23 00:00:00.000,"1",5000,2025-11-08 12:43:00.000,,,NCR20251104-00140,B,2025-11-04,undefined,"100",LC Short chip,1,2025-12-11 09:20:00.000,2025-12-11 09:20:00.000,""
